group,gene,value
Moderate/Severe,PBX3,4.613971099
Moderate/Severe,PBX3,4.962488865
Moderate/Severe,PBX3,5.407212203
Moderate/Severe,PBX3,4.612187314
Moderate/Severe,PBX3,4.901704138
Moderate/Severe,PBX3,4.668312165
Moderate/Severe,PBX3,4.728286841
Moderate/Severe,PBX3,5.726547988
Moderate/Severe,PBX3,5.063430781
Moderate/Severe,PBX3,4.643067797
Minimal/Mild,PBX3,4.589134299
Minimal/Mild,PBX3,4.925016631
Minimal/Mild,PBX3,4.589134299
Minimal/Mild,PBX3,2.850555645
Minimal/Mild,PBX3,4.559168717
Minimal/Mild,PBX3,4.641706206
Minimal/Mild,PBX3,2.850555645
Minimal/Mild,PBX3,3.990455636
Minimal/Mild,PBX3,4.673681693
Minimal/Mild,PBX3,4.130018521
Moderate/Severe,KLF4,6.962299091
Moderate/Severe,KLF4,7.836851054
Moderate/Severe,KLF4,5.965411781
Moderate/Severe,KLF4,9.086680279
Moderate/Severe,KLF4,6.572850228
Moderate/Severe,KLF4,7.844731177
Moderate/Severe,KLF4,7.295613892
Moderate/Severe,KLF4,5.72942393
Moderate/Severe,KLF4,5.687533753
Moderate/Severe,KLF4,10.79371033
Minimal/Mild,KLF4,5.403466859
Minimal/Mild,KLF4,6.808303147
Minimal/Mild,KLF4,6.122979697
Minimal/Mild,KLF4,4.550497138
Minimal/Mild,KLF4,4.610609994
Minimal/Mild,KLF4,6.20241964
Minimal/Mild,KLF4,4.139942584
Minimal/Mild,KLF4,4.737596464
Minimal/Mild,KLF4,5.167025006
Minimal/Mild,KLF4,4.515623204
Moderate/Severe,NR4A2,10.17997142
Moderate/Severe,NR4A2,10.20564941
Moderate/Severe,NR4A2,9.612283233
Moderate/Severe,NR4A2,8.062651568
Moderate/Severe,NR4A2,6.171143673
Moderate/Severe,NR4A2,6.406553206
Moderate/Severe,NR4A2,7.721271211
Moderate/Severe,NR4A2,6.799338378
Moderate/Severe,NR4A2,6.406553206
Moderate/Severe,NR4A2,12.39550345
Minimal/Mild,NR4A2,5.401558669
Minimal/Mild,NR4A2,6.406553206
Minimal/Mild,NR4A2,5.247557112
Minimal/Mild,NR4A2,5.618143115
Minimal/Mild,NR4A2,7.89022131
Minimal/Mild,NR4A2,7.716813099
Minimal/Mild,NR4A2,5.068320842
Minimal/Mild,NR4A2,5.618835436
Minimal/Mild,NR4A2,5.76311001
Minimal/Mild,NR4A2,6.231383414
Moderate/Severe,EGR1,11.83159239
Moderate/Severe,EGR1,15.1559861
Moderate/Severe,EGR1,15.45238345
Moderate/Severe,EGR1,14.61375216
Moderate/Severe,EGR1,10.58583746
Moderate/Severe,EGR1,13.99122504
Moderate/Severe,EGR1,14.06219849
Moderate/Severe,EGR1,15.0620237
Moderate/Severe,EGR1,11.78610049
Moderate/Severe,EGR1,15.2758159
Minimal/Mild,EGR1,12.4184001
Minimal/Mild,EGR1,11.92376564
Minimal/Mild,EGR1,11.68160302
Minimal/Mild,EGR1,12.96547983
Minimal/Mild,EGR1,13.53933375
Minimal/Mild,EGR1,13.575229
Minimal/Mild,EGR1,11.48433592
Minimal/Mild,EGR1,10.5845433
Minimal/Mild,EGR1,11.11775032
Minimal/Mild,EGR1,12.20324143
