,GSM175786,GSM175787,GSM175788,GSM176082,GSM176083,GSM176084,GSM176085,GSM176086,GSM176087,GSM176088,GSM176089,GSM176090,GSM176091,GSM176092,GSM176234,GSM176236,GSM176238,GSM176240,GSM176039,GSM176040,GSM176041,GSM176043,GSM176093,GSM176094,GSM176095,GSM176096,GSM176097,GSM176098,GSM176099,GSM176100,GSM176101,GSM176127,GSM176132,GSM176137,GSM176141,GSM176142,GSM176143,GSM176144,GSM176145,GSM176146,GSM176319
PNOC,13.412038,64.347534,732.2671,204.36137,7.6912537,93.461914,148.58527,53.77397,373.21945,81.37271,104.84365,321.82004,592.7248,24.778704,38.3731,37.779408,124.556305,139.51828,22.35856,9.163116,2.027221,13.536126,10.580899,16.404087,1.1009191,2.4137795,7.126753,11.620647,0.9876781,6.6416173,1.5644352,5.1551094,13.06707,15.753505,5.491637,0.5274871,0.50291336,1.6419774,4.5506325,0.8155518,6.3623104
PTX3,14.658138,13.87951,8.943384,42.821793,13.135369,17.689606,52.835205,42.981182,20.822063,16.610895,27.374538,24.252295,36.448273,497.3606,41.671234,9.434934,6.2097244,13.579215,20.190071,6.8423266,18.23779,13.528132,7.2912793,13.444957,5.171072,13.243743,10.549852,10.203952,12.170149,9.453578,6.024422,4.5563593,12.08273,6.7507277,17.292295,13.363335,8.805489,20.629147,9.230166,28.364573,12.631083
BMP6,125.19222,115.811745,143.72836,96.10714,168.19211,30.445436,144.49161,138.28003,101.327126,51.038086,69.45114,38.426235,132.70619,46.289406,44.81015,21.155497,32.584194,44.09142,30.462831,12.488577,18.079674,15.585573,15.734446,28.677326,4.4542813,25.88999,30.481628,27.564064,18.552471,19.427757,11.082321,15.455915,13.530718,19.10977,22.14393,15.156347,20.346277,29.667532,18.767181,39.20153,38.09324
NR1H4,83.203575,80.428894,34.738365,54.730473,83.62637,48.71558,89.81607,50.917362,38.58036,42.951714,50.87077,33.71885,47.304195,50.902504,46.88763,14.103407,18.955746,22.024748,4.5616426,1.6145389,2.209329,6.5567565,9.543948,1.0930454,0.439565,0.77876216,14.274041,0.9773174,2.1714354,4.1974235,8.740682,8.584473,11.999465,12.91474,5.575435,0.45700854,3.399408,2.1235507,0.9117269,1.8538413,12.361551
BDNF,25.469818,36.349125,64.47496,51.504074,129.02316,3.3664114,30.166822,22.212465,29.051977,17.673449,16.921816,14.013582,61.648235,64.93097,85.881546,15.96578,17.63843,32.023735,2.5477383,4.725963,3.8954027,0.4475815,7.1852093,6.2072573,0.8839759,7.114462,0.5818602,5.80267,3.2455246,2.8341072,6.580394,5.123831,8.602327,5.175712,8.579462,1.0694747,1.7235557,5.660148,17.886993,4.588454,20.4877
RORB,2.0195146,3.6294758,0.9619433,1.5846205,0.85888845,1.2815799,2.8620543,1.9359682,13.602017,1.3233931,1.5492463,0.85687983,3.1254578,0.8815656,1.9473541,0.96424156,29.280619,2.4773388,58.728252,5.0708995,13.502357,47.16166,42.16044,42.842087,37.77974,83.841866,48.720695,89.24629,34.920544,15.306833,49.145046,15.090025,3.7094913,26.310673,26.718126,64.44688,1.9089658,2.215873,2.3437085,1.7402545,76.476135
TRH,13.128601,1.3340204,1.4466544,16.078588,16.78799,5.55818,9.539718,12.544985,14.49101,1.9208068,1.7213954,4.9254003,7.276442,4.466896,23.84148,1.0272484,3.0098908,2.2220767,30.284262,0.63010055,31.387125,24.056187,104.443115,145.09966,238.26927,5.574716,148.86383,47.326263,234.91068,36.451645,104.27497,72.653915,44.43761,121.5782,10.511762,245.33136,16.045433,4.7907047,0.8906395,1.9588698,291.605
PTGER2,89.55021,111.521065,177.18694,38.13212,96.54891,62.673115,41.1739,66.19863,150.58037,27.964676,65.95105,24.01401,60.898518,44.01676,165.97647,21.98842,42.01943,22.722553,14.538551,21.754265,19.684856,18.814693,19.589735,32.804024,7.3648214,44.386658,20.264477,21.945478,13.794897,4.782721,9.604054,9.285736,20.206928,10.099123,56.52296,36.287273,42.948505,136.06467,28.163809,35.226234,18.230822
NR0B1,24.161612,75.303734,55.347385,18.117989,19.135977,52.474743,35.230583,31.858566,15.780229,70.537056,10.516834,32.46418,52.039394,28.702751,23.422712,19.496279,21.127155,31.308252,5.044424,3.6194303,0.9822433,6.4849854,4.6861343,5.5805154,6.968462,1.2287637,6.0522466,12.02939,5.5357285,3.3351285,2.310972,11.136407,1.9739318,12.692431,10.22805,0.44733268,13.835608,5.616715,17.14535,1.7224197,1.4112847
NTF3,103.44712,108.14789,25.787092,52.601208,65.169876,22.158897,65.2211,41.171947,47.121017,47.42581,37.623077,40.326008,47.720917,15.131487,60.923435,7.624794,10.649519,4.680961,11.459139,19.16332,10.977947,31.328665,17.046335,31.145914,3.5627496,3.9524739,18.252487,21.824007,3.3206553,7.001743,3.9846044,13.207999,15.08953,19.33514,27.423965,3.6696973,37.893753,19.93707,8.497843,46.627266,30.61799
