,GSM175766,GSM175767,GSM175768,GSM175769,GSM175770,GSM175771,GSM175772,GSM175773,GSM175774,GSM175775,GSM175776,GSM175777,GSM175778,GSM175779,GSM175780,GSM175781,GSM175782,GSM175783,GSM175784,GSM175785
FOXC1,170.14874,250.20944,183.82654,241.92769,167.6589,178.01852,161.29428,268.40482,305.16507,150.75305,46.236557,67.52573,43.67884,46.882137,30.638245,43.43713,46.22961,41.99444,43.107094,37.842323
NR1H4,59.60224,129.57993,132.04092,84.80551,52.01393,69.45789,77.517815,83.1295,137.08522,79.717606,20.917337,21.971815,24.354847,28.463146,16.17598,23.78943,18.686907,18.749992,27.97412,30.714441
LHX9,97.009705,81.64628,75.367294,79.54514,85.31881,115.54351,95.328445,106.9603,98.566795,82.56742,12.653276,11.025083,14.418899,12.261555,10.366551,11.827756,12.781574,15.419569,11.167401,13.7371855
JUNB,1159.3353,2148.8477,868.06024,1067.7079,911.1715,1353.1685,1405.4545,1742.5947,1976.3922,491.2981,236.87817,1142.7523,269.70355,833.21185,855.53876,327.44803,333.65936,249.10648,636.7196,475.3299
EGR1,793.5625,705.3088,622.9786,664.6768,543.8643,1472.358,1297.4166,1884.0997,1390.8441,412.0713,264.05606,1208.4451,221.2551,356.82193,985.98486,205.45387,232.04567,110.62771,544.70447,363.895
NR4A1,766.38086,1655.0883,1305.8453,568.63367,630.52856,1889.1466,1439.7681,2198.7744,2424.3743,561.2633,437.4351,1788.7019,374.8168,703.9611,1123.2018,407.95078,307.33948,202.92271,576.4517,361.46365
FOSB,1328.8898,899.5736,331.4874,1022.6859,301.9419,1553.9882,1518.1232,1967.7936,1902.3716,502.45294,241.3189,1096.0769,217.26054,184.1291,1579.7806,189.38863,314.8429,75.00061,828.79364,572.6543
CEBPD,2256.833,3902.0918,2116.22,2325.1375,2246.4915,2143.65,1925.7013,3086.4731,2851.5742,1136.2391,247.20657,1351.149,389.8649,4621.985,571.7318,370.42496,330.90686,321.28647,388.7333,438.65012
PBX3,437.97607,620.6235,737.81494,502.7657,562.00195,648.7662,575.1226,620.3395,579.15344,246.60355,129.5245,82.456474,108.514305,150.10956,121.62255,168.15987,110.926895,130.52911,163.60516,118.17034
NR4A2,241.37494,4093.743,785.1677,213.8543,375.50357,958.8554,1526.452,1722.5828,2516.7034,284.5268,126.684845,447.01047,161.19678,354.01016,337.969,217.6826,160.38652,89.80864,219.78183,111.46528
HLF,141.96881,198.99954,187.453,124.52129,98.05306,228.96605,243.04834,116.76839,157.84523,40.44996,37.84937,47.827576,34.25173,36.93362,55.088535,62.824287,38.67438,39.675056,52.24494,28.884127
TCF21,844.52136,796.3923,1577.0651,952.02026,543.55817,1511.8096,989.7528,928.6608,1330.8993,525.9057,51.789413,46.69365,41.782204,34.340363,42.93533,61.509148,39.97453,35.33182,37.697395,35.29202
GATA4,159.25308,209.55504,253.48764,161.45872,79.47659,213.09209,241.44286,199.77231,282.6163,212.43658,30.133213,22.333424,27.085793,31.837822,36.513435,40.022476,27.250967,25.299856,27.460377,28.920387
HOXC4,131.6529,149.90648,178.6224,150.8589,161.97769,194.64322,211.95515,251.8175,139.55269,158.29747,71.43748,82.87632,75.10064,95.177376,93.643585,74.171875,91.90429,81.61763,64.675476,99.77367
NR0B1,56.28416,43.390015,72.52517,55.165134,55.02847,112.6125,34.673244,87.49114,96.41775,53.196903,26.839464,29.695541,27.833426,27.300488,27.694914,29.790451,29.312801,32.610462,26.711712,27.562176
