,GSM175766,GSM175767,GSM175768,GSM175769,GSM175770,GSM175771,GSM175772,GSM175773,GSM175774,GSM175775,GSM175776,GSM175777,GSM175778,GSM175779,GSM175780,GSM175781,GSM175782,GSM175783,GSM175784,GSM175785
HOXC6,551.1153,545.49335,1210.2085,984.0009,1322.0505,1417.9678,1183.0001,1333.5579,1040.0443,570.8862,74.21125,42.47083,80.83533,41.978672,121.07545,159.77243,101.27922,143.03079,120.19242,49.07673
PPARG,92.04226,70.40933,157.95818,98.89201,52.10578,107.889496,94.62417,132.02084,159.08452,217.90671,44.06936,40.69631,47.02185,34.76743,48.150932,31.168978,38.162254,49.790398,52.877377,48.397972
PEG3,1653.2646,2743.2607,3774.2183,1897.4668,1311.2994,3263.5425,3544.431,2995.012,2481.6123,2680.8967,267.44067,383.03116,339.00748,378.46582,485.71,388.24463,285.46747,201.44247,346.1781,353.43704
GATA6,347.9542,751.6434,660.9131,479.9458,667.4018,746.49316,553.10846,590.01215,735.586,718.1451,14.994623,25.021433,16.668663,44.25891,16.753805,17.797243,22.50822,19.638536,15.680301,15.657139
NR4A3,83.982124,823.9229,195.37885,65.66722,83.82401,433.40863,541.7076,580.3261,804.889,84.03709,43.47985,100.020134,45.467716,48.979485,95.99048,44.740055,46.49604,25.477814,46.946663,38.765884
ZNF395,317.3242,309.95135,403.5321,402.76297,430.40344,450.46378,510.2732,516.9838,381.51456,168.29729,135.9003,170.92271,138.90659,195.77435,166.0687,171.91782,156.21046,151.55215,153.28714,153.21289
KLF2,836.39594,1262.3007,1531.8068,974.09546,803.82196,1218.4237,1552.4469,1623.58,2202.2034,358.84985,139.14511,188.15077,197.45685,132.99965,199.93193,132.74014,178.08458,196.41917,208.79211,185.93774
ZFPM2,490.6124,514.39526,685.6458,576.24066,517.1574,644.58734,670.1829,558.6611,683.3884,320.27676,59.48036,64.37601,57.172607,58.15031,69.629005,68.535614,61.082623,71.87531,63.191853,50.12557
KLF4,245.19252,263.8919,158.61436,165.13185,142.63216,166.21295,207.87074,277.5199,487.50824,126.30575,83.85096,102.08408,88.65925,123.02311,167.33472,53.786232,98.86316,67.17804,89.9499,92.923706
TSHZ1,747.77325,1008.271,785.9967,681.4568,631.5134,663.65326,818.1351,694.3889,1028.1461,453.2166,287.16586,275.5654,209.57024,457.49536,301.42648,370.18024,230.09895,239.72083,364.57758,277.66074
ZNF275,414.93246,588.05615,536.41077,449.42407,487.02612,394.83463,548.7102,461.55914,767.84076,462.66068,140.25737,147.26564,185.43332,105.623726,167.07893,172.2926,181.83171,140.70282,160.11746,192.72546
ZNF521,207.89195,92.31319,309.41223,243.97658,223.8982,288.89886,274.56595,287.77295,234.43036,105.40517,41.375095,71.23234,65.28295,60.253883,68.78214,80.820564,73.75324,59.773838,63.92933,46.267742
NFIX,548.92377,468.41626,616.80115,484.37985,497.48013,680.0136,476.5411,487.8724,530.3293,284.3883,166.47232,225.14362,181.2232,163.63045,262.2206,199.71707,246.33241,230.24153,284.27698,185.96185
PROX1,128.79181,236.15492,167.41548,173.28519,57.962532,95.648445,84.558266,250.04759,153.57487,75.807594,43.692684,42.876553,37.678795,43.569134,43.983894,38.299843,42.3644,54.57852,47.082306,39.711094
FOXP1,194.22054,161.19301,182.22325,175.08987,122.76093,163.80359,208.0652,187.5424,234.65662,133.2091,51.836716,45.572575,53.23131,96.917694,51.633614,68.216324,63.00104,55.85092,58.401848,48.782913
BNC2,317.8489,327.7125,400.65402,308.37808,329.15753,330.01074,418.0285,389.0144,340.8272,257.55624,52.68885,25.229279,44.902264,40.992023,39.908962,53.705185,73.243355,65.95127,62.009754,45.98321
RUNX2,313.40927,134.8975,78.24285,310.93207,495.55103,137.80786,176.06549,131.18704,165.30241,871.86835,68.72097,91.66585,48.34627,89.67196,111.62022,135.92271,56.38925,49.62506,63.058,84.52517
ZNF540,50.97188,60.801445,109.98092,80.831856,59.661102,96.1114,70.05809,96.65795,62.269554,22.039333,27.547743,32.985695,23.240755,28.927055,30.99155,30.42423,30.49457,24.869938,26.323242,26.13206
ARX,265.04822,624.24115,739.32825,506.27637,336.83362,621.9578,541.2973,585.0615,479.37628,306.0746,13.411394,16.684622,21.506016,19.68175,18.161257,20.399542,14.919401,24.090435,23.778437,16.992239
MKX,168.55147,133.80434,213.79556,120.18016,102.331566,104.756935,99.97483,114.33633,160.284,30.893383,11.514134,9.822261,11.771578,12.075594,10.087459,11.144434,12.264801,11.199221,12.066025,11.768076
MEIS1,213.77467,275.3501,212.64821,134.6773,208.10847,184.09312,292.48236,148.37474,171.44586,96.367325,394.48328,497.2553,383.10822,611.5744,466.93015,589.0159,334.5866,219.82103,401.40573,314.16968
ELF3,60.557415,60.761536,54.885464,49.19988,44.856766,40.3408,80.977066,43.441315,55.791615,56.047382,149.10533,465.90265,205.73474,285.04703,138.62021,258.75162,181.83873,215.71213,227.7327,189.39865
FOXM1,48.09155,43.687725,43.735134,36.10962,39.899002,42.652287,49.279606,40.637688,39.85484,57.647125,173.09491,99.65499,96.936226,56.71627,94.89745,87.4788,111.435524,149.67056,129.19186,141.02867
IRF6,87.88536,68.996025,88.4798,74.6111,76.81728,67.932365,81.36264,60.309532,69.636246,76.496315,189.33887,293.91776,238.5791,261.3265,182.85004,195.29176,191.22894,181.9981,143.3066,224.25774
SOX9,19.563713,15.610952,18.6413,16.286125,22.292286,18.338825,24.196835,28.39094,16.014595,213.93079,38.150974,294.49097,50.404846,44.115623,38.952957,78.10385,105.09175,54.74127,64.16504,49.546124
ZNF516,207.72855,408.3011,219.04736,159.116,217.10294,191.12065,187.17584,204.49261,245.26175,105.86389,483.23904,596.43726,473.33817,249.33417,751.70215,532.8893,524.4555,339.91846,471.01776,422.68814
HOXB7,52.811623,36.61695,27.613197,42.8119,60.498363,26.838902,52.856266,38.38095,44.066143,41.567368,183.15659,208.29411,268.3594,128.76436,186.68445,165.69147,216.58066,291.98752,186.95615,237.53114
ESR1,404.23737,452.9902,236.2662,225.37057,317.11713,259.02307,496.12793,231.89601,256.8139,145.3999,2021.6534,2219.9792,2340.909,925.6404,2731.9314,3337.4673,2146.2385,2090.962,2585.924,2081.2434
TFAP2C,61.17552,84.99834,30.449512,70.299095,126.07156,33.110012,110.58567,53.480824,64.03883,39.325233,148.454,243.93796,147.4219,236.60521,200.45448,191.7035,153.34584,146.61703,189.50362,164.98601
HNF1B,115.50015,132.04376,96.49405,97.40949,121.84934,90.794945,122.87543,126.44604,96.88627,113.95554,187.08438,178.43835,204.88693,353.10687,196.803,231.90332,229.55878,285.50354,208.23096,208.73897
HOXB6,56.767708,39.2557,37.694447,32.132812,54.066837,31.860907,74.813736,33.18701,24.803942,35.011765,281.09946,402.1995,408.20782,320.78558,224.42001,254.81306,354.81967,309.20456,198.2795,292.2069
HOXB2,117.48388,58.81327,61.39967,104.66676,194.5983,68.70488,150.66869,109.16834,42.47032,58.47106,391.235,303.57092,408.0008,286.7462,276.6277,436.56512,371.93933,407.67914,277.99432,358.59378
HOXB5,69.07374,36.961018,47.074112,67.593025,70.93338,48.696003,58.25141,40.15784,42.42911,48.64039,145.60805,143.6332,135.04953,123.492065,107.53454,141.66707,146.86403,174.02704,117.808014,142.26956
MSX1,249.78542,105.25148,41.215027,77.17161,56.834904,60.8904,60.74323,120.31226,81.98729,157.55542,1821.2397,2631.922,3089.7952,679.5274,2170.0142,1638.8759,2586.4814,2235.405,1823.4591,2235.2058
HMGA1,73.574455,73.71735,48.453426,85.418785,85.00198,48.628853,92.40175,87.331924,76.03516,76.92432,207.5353,191.47932,200.82062,116.27395,114.32422,231.32317,191.40611,219.80803,150.78871,180.64851
PAX2,37.381557,45.12264,34.462208,47.59983,31.758629,33.271786,44.421764,39.18131,31.944742,27.501865,92.6187,90.42049,92.06864,138.79999,105.78002,94.37323,72.09582,101.253296,86.199394,96.39844
SALL1,34.74432,39.660965,12.644392,18.084152,30.902906,17.403196,22.463446,25.565325,16.466648,10.952681,190.03171,129.74402,191.8931,93.57213,168.33597,169.24957,195.27853,133.67513,171.66568,197.9918
HOXD10,70.13758,68.26266,46.652664,58.78145,82.74621,36.479805,90.439674,59.720905,48.619415,41.39016,199.73288,190.05745,181.15823,121.80101,147.8153,301.62704,157.40237,158.6733,231.92488,147.38141
TCF12,577.50714,654.6866,624.1215,469.66312,695.76135,609.50854,606.0962,581.7846,603.7764,454.55676,1531.3912,1299.5374,1097.4261,963.24695,1584.8365,1543.6067,1222.5406,834.0772,1230.9088,1266.8684
GATA2,156.2568,86.90898,81.76561,147.84464,115.27193,91.1052,93.466034,135.57726,117.68214,117.231445,410.1353,537.6612,311.04373,182.39748,360.87088,446.5801,389.21478,428.33353,513.5179,385.44284
ASCL1,28.350185,22.372738,17.291473,17.263384,18.020702,24.087833,35.695015,19.244877,17.089045,19.700325,48.006214,76.969086,32.49359,21.616997,58.553875,46.41418,79.83267,44.683876,66.16137,34.38416
FOXA2,36.773277,26.114376,39.171078,37.744385,36.98329,25.569902,40.5376,44.06355,42.37648,36.88135,126.142456,201.33165,175.36026,133.96126,128.20543,143.0625,202.01086,198.21011,167.55333,154.97021
MSX2,35.74849,15.504441,11.233362,13.866014,10.880378,14.393719,11.213938,10.72186,15.04557,13.44242,277.0163,468.4294,318.82587,23.148685,207.09795,344.3257,373.41678,419.38516,218.5546,258.45532
OVOL2,47.372517,39.064487,42.969086,42.262344,45.107174,30.818903,39.284462,31.160486,37.6411,50.40266,136.73798,147.33925,120.802795,82.35219,81.152176,96.60832,147.63913,163.79407,123.46321,118.023705
HOXA10,149.8111,82.76238,68.868,82.50261,155.4194,85.26395,105.342964,107.23653,61.01576,91.96434,803.56287,641.22437,679.1458,256.149,966.17444,725.23474,659.3159,749.654,748.63306,762.37415
OSR2,472.84186,242.71075,414.68463,453.0472,251.94505,571.11957,503.77216,704.6943,436.96017,263.5706,860.89844,867.9775,735.90564,742.4162,1609.8907,1659.2836,734.45184,649.097,956.661,793.32904
DLX5,81.63927,55.3462,54.34651,51.52317,57.982574,37.15884,49.586742,61.433376,61.85383,44.38924,416.72592,632.7136,519.9421,164.60757,562.5481,442.5317,442.04663,357.49957,421.4512,535.26636
HOXA11,151.6459,84.252464,58.340195,69.08185,129.41512,64.117966,108.88921,77.10658,52.680347,53.678814,925.5645,550.0397,673.2148,328.25314,943.84033,700.9368,661.21,774.2354,829.13794,943.76337
HOXA5,82.38357,44.82961,42.130745,73.84713,205.44437,51.023438,75.14029,104.73167,52.60864,55.657482,421.63193,104.55692,306.66815,256.66812,269.5521,338.9299,245.7866,246.61931,306.26743,310.22623
PAX8,76.99518,60.71036,50.100277,49.697285,98.61936,57.788174,107.381485,60.480625,64.32925,65.07044,153.38818,317.1289,211.48279,782.4241,254.02826,304.16037,284.103,263.35352,212.64162,239.45943
HOXD11,55.557785,38.692337,37.878582,41.292248,61.857925,30.448017,56.014465,33.743607,54.51983,40.260906,94.75398,123.62492,94.962135,105.68514,69.75642,133.86853,121.19207,112.14475,146.4772,118.69656
GRHL2,35.419506,26.925297,25.608131,25.0872,30.37729,24.779453,26.04768,26.52863,21.841208,29.532593,117.85201,94.78973,160.28781,76.32256,95.19612,100.44191,136.47176,126.885315,120.574615,145.46391
E2F8,18.017433,10.482204,13.564809,11.410553,13.518875,11.022799,13.626331,13.120334,13.124131,19.188307,104.41642,38.90851,51.9411,14.257452,38.48043,47.812626,67.84819,53.977245,84.52006,61.648243
SOX17,112.964935,76.42216,70.981804,71.616196,56.694397,70.70103,102.53426,72.210495,86.70764,61.073128,884.48206,1034.2261,1168.2721,157.1785,733.6748,804.9853,875.3522,746.4946,901.4191,945.7135
SPDEF,125.83565,104.226845,98.35248,92.49437,108.45456,94.84773,148.30789,88.65726,96.261604,118.66764,333.5491,338.57712,736.4304,109.846954,470.75214,168.57027,501.71698,473.3813,282.74503,564.4443
NPAS3,48.190247,35.383778,53.246178,51.390182,58.416107,45.677765,41.500774,36.794254,36.809265,34.97988,179.50613,141.1363,192.204,37.972057,156.96976,78.49959,238.8598,201.5399,173.44672,174.99055
LEF1,335.2158,203.68779,175.23454,233.4653,545.8776,150.78224,247.85646,179.23654,285.6453,111.379585,908.56445,888.833,639.24945,272.90356,1009.1902,963.44635,710.9755,697.27655,749.1887,917.00214
EMX2,140.93999,143.83372,104.86759,102.39155,175.1257,102.591484,214.41037,181.86943,118.84562,158.1806,528.19196,563.1415,536.87573,347.17822,426.69638,470.67694,552.0066,467.14148,491.76874,383.31433
GRHL1,29.693687,31.89059,14.968367,15.171515,22.89031,14.559249,20.39507,19.558344,15.154268,15.030175,34.840366,35.261612,58.942024,77.017395,78.65643,49.057484,47.432053,35.646973,21.570292,67.48971
HEY2,93.200035,38.07732,54.396652,59.20486,40.106476,42.787106,42.95622,71.73565,51.07167,86.58109,315.64786,311.53726,405.58542,75.411476,237.63412,166.91307,244.19154,299.07706,260.27405,349.29388
EHF,18.988596,18.9538,19.866325,28.847576,18.016342,21.880976,33.05733,21.504847,16.740822,25.44937,82.4781,105.19914,147.14316,65.89843,83.20112,72.59444,110.41643,75.96471,64.90886,91.628654
TBX3,195.71994,526.10864,205.41273,214.58096,404.72186,255.36784,263.24503,209.56213,209.6402,219.9867,579.5104,594.81866,496.10687,338.13666,513.3433,743.2227,478.34488,509.14835,532.3833,527.0012
JAZF1,79.90774,75.8648,74.65323,70.07359,92.02545,64.23916,88.15591,56.42489,74.33641,102.47028,296.40866,233.52231,295.31516,256.97928,266.67838,151.53069,247.991,220.15753,271.22186,394.73013
MECOM,220.6919,58.564037,93.362785,94.24057,76.95903,81.55717,113.108315,122.04153,123.88693,54.959816,705.7589,630.7911,621.3759,283.66562,369.76495,669.358,672.3624,379.31677,491.6923,479.71814
HEYL,136.2136,82.96801,69.149734,83.57561,82.07307,83.32305,79.52864,127.29935,97.86585,190.58081,308.8833,182.88586,248.0208,73.273705,240.55582,184.28511,227.63455,305.8874,273.3517,250.02232
TFCP2L1,46.62887,57.264225,56.334557,62.6884,48.589367,44.399117,39.741062,48.96328,53.491726,47.444065,106.20553,123.69356,120.40989,137.23238,105.37235,91.77168,123.52781,113.43508,89.47037,165.31827
E2F7,27.214815,14.694343,12.459455,13.66432,13.040581,11.753161,12.64555,17.042969,11.954941,54.150124,111.29575,68.02222,49.21025,14.358556,63.66045,25.932487,70.660545,71.75183,56.770927,74.79458
PGR,786.74664,542.081,746.92865,308.29547,421.18582,602.4452,1058.3604,708.5381,422.2337,330.54745,4055.6494,2749.16,4257.7124,955.22375,3268.8877,2235.3113,4416.2085,2835.8718,3422.1533,4020.187
HOXB3,79.70499,40.69459,23.981405,38.864655,174.08472,22.516262,130.53665,76.70967,30.764065,37.106968,550.5059,540.1087,687.3349,360.79242,551.52405,404.5154,570.0859,340.86523,450.18826,439.836
DACH1,38.745186,38.23246,36.380062,39.69926,37.017838,41.728905,45.571293,60.316982,35.149582,26.660398,76.34498,163.82195,70.234566,74.18065,110.5184,155.27718,95.47802,66.45412,105.34412,92.18338
PRDM1,264.1835,417.0219,81.62187,217.79474,268.802,102.98619,268.3073,137.58876,205.1996,59.39128,632.4693,568.97217,562.7142,1775.5371,904.9666,1755.4683,519.59485,449.06824,955.70624,547.726
TWIST2,151.88783,165.13548,160.91954,158.63426,179.96173,159.67227,185.0467,202.34964,146.05414,126.45044,682.6416,692.6821,731.26416,692.9593,471.94785,502.16095,634.93896,625.05164,794.0432,725.53986
ZNF367,29.156971,32.655537,28.653692,26.59267,24.278616,33.103413,29.378002,27.421888,28.933208,49.774742,149.58409,135.54688,125.80151,29.294329,124.39263,61.703766,116.1455,106.105156,146.25443,111.748245
HOXB8,14.433396,13.803685,17.709694,15.264908,14.122216,17.062984,20.40667,17.734398,20.197397,12.917516,53.332153,49.18714,45.383793,26.139267,35.280273,45.353104,42.930275,47.35077,33.05498,35.11252
HOXA3,54.622395,32.643642,31.684978,50.744373,117.692635,15.526999,52.936134,70.66092,38.7357,25.398132,156.66571,69.372765,135.84529,126.45556,147.61618,90.824,100.12979,78.53545,109.60884,125.00752
RORB,47.578693,48.516773,30.89266,26.634077,72.93085,19.224483,45.332317,29.378136,37.072704,35.284184,213.65198,189.38773,217.27184,344.24493,481.83228,503.05203,162.88544,197.933,321.30884,188.4513
DLX6,23.241936,12.705702,15.169092,14.745205,10.511996,15.863864,13.708238,13.32929,18.237167,12.692238,194.8569,286.3293,301.7735,69.72795,234.40945,203.86542,228.19958,207.53668,208.12544,240.59297
CASZ1,27.999062,32.30133,31.319468,23.005562,21.893686,26.419363,29.367798,29.785828,39.836845,25.5955,47.026302,95.31326,108.3348,119.866646,50.650562,53.630676,67.82031,62.98077,44.671032,71.14574
HEY1,136.8623,101.86323,100.31062,114.67867,82.37991,101.674065,85.059685,170.0613,125.17949,96.14857,192.27705,401.7048,292.1562,216.22621,343.31122,201.86345,260.67575,180.22958,192.17496,372.75073
